"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Navbar.tsx", "TypeScript JSX", -6, 0, -2, -8
"Total", "-", -6, 0, -2, -8
