Date : 2025-08-02 17:59:27
Directory : c:\Users\dell\OneDrive\Documents\vape\site-vape-v2
Total : 135 files,  30395 codes, 838 comments, 1817 blanks, all 33050 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\liquid.controller.ts        | TypeScript         |        468 |         49 |         86 |        603 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\mix.controller.ts           | TypeScript         |        469 |         57 |        100 |        626 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\order.controller.ts         | TypeScript         |         65 |          4 |         13 |         82 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\product.controller.ts       | TypeScript         |         81 |          4 |          5 |         90 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\rating.controller.ts        | TypeScript         |         43 |          2 |          8 |         53 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\store.controller.ts         | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\controllers\translation.controller.ts   | TypeScript         |        238 |         12 |         55 |        305 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\middleware\auth.middleware.ts           | TypeScript         |         33 |          0 |          8 |         41 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\middleware\error.middleware.ts          | TypeScript         |         25 |          0 |          5 |         30 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\middleware\validation.middleware.ts     | TypeScript         |         12 |          0 |          1 |         13 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\liquid.model.ts                  | TypeScript         |        196 |          6 |          5 |        207 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\mix.model.ts                     | TypeScript         |        173 |          2 |          5 |        180 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\order.model.ts                   | TypeScript         |         90 |          0 |          4 |         94 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\product.model.ts                 | TypeScript         |        106 |          2 |          4 |        112 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\store.model.ts                   | TypeScript         |         34 |          0 |          3 |         37 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\suggestionRating.model.ts        | TypeScript         |         15 |          0 |          4 |         19 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\translation.model.ts             | TypeScript         |         52 |          1 |          4 |         57 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\user.model.ts                    | TypeScript         |         59 |          3 |          7 |         69 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\admin.routes.ts                  | TypeScript         |        100 |        114 |         15 |        229 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\auth.routes.ts                   | TypeScript         |         18 |          1 |          7 |         26 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\liquid.routes.ts                 | TypeScript         |         28 |          8 |         10 |         46 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\mix.routes.ts                    | TypeScript         |         45 |          6 |          8 |         59 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\order.routes.ts                  | TypeScript         |         22 |          3 |          5 |         30 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\product.routes.ts                | TypeScript         |          9 |          5 |          7 |         21 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\rating.routes.ts                 | TypeScript         |          6 |          1 |          3 |         10 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\store.routes.ts                  | TypeScript         |          6 |          2 |          4 |         12 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\translation.routes.ts            | TypeScript         |         37 |          2 |          4 |         43 |
| c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\services\liquidAnalysis.service.ts      | TypeScript         |        684 |         89 |        127 |        900 |
