"filename", "language", "JavaScript", "Markdown", "JSON", "JSON with Comments", "TypeScript", "TypeScript JSX", "Properties", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\middleware\validation.middleware.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\liquid.model.ts", "TypeScript", 0, 0, 0, 0, 196, 0, 0, 0, 0, 0, 6, 5, 207
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\mix.model.ts", "TypeScript", 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 2, 5, 180
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\order.model.ts", "TypeScript", 0, 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 4, 94
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\product.model.ts", "TypeScript", 0, 0, 0, 0, 106, 0, 0, 0, 0, 0, 2, 4, 112
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\store.model.ts", "TypeScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\suggestionRating.model.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\translation.model.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 4, 57
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\models\user.model.ts", "TypeScript", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 3, 7, 69
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\admin.routes.ts", "TypeScript", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 114, 15, 229
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\auth.routes.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\liquid.routes.ts", "TypeScript", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 8, 10, 46
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\mix.routes.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 6, 8, 59
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\order.routes.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 5, 30
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\product.routes.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 5, 7, 21
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\rating.routes.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 3, 10
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\back-end\src\routes\store.routes.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 4, 12
