"filename", "language", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\dell\OneDrive\Documents\vape\site-vape-v2\front-end\src\components\Navbar.tsx", "TypeScript JSX", 7, 1, 1, 9
"Total", "-", 7, 1, 1, 9
